id;groupId;espanol;ingles;frances
1;1;¿Cuál es tu preeliminar favorito?;What is your favourite foreplay?;
2;1;¿Cuál es la mejor postura para hacer un trio?;What is the best position for a threesome?;
3;1;Si tu pareja quisiera atarte, ¿accederías?;If your partner wanted to tie you up, would you agree?;
4;1;¿Cuales serían las condiciones idóneas para hacer un trio?;What would be the ideal conditions for a threesome?;
5;1;¿Qué palabra o frase te puede decir una persona para ponerte cachondo?;What word or phrase can a person say to you to heat you up?;
6;1;¿Cómo de importantes crees que son los preeliminares?;How important do you think foreplay is?;
7;1;¿Qué opinión tienes del porno?;What is your opinion about porn?;
8;1;¿Qué opinas de la libertad sexual que existe hoy en dia en los países occidentales?;What do you think of the sexual freedom that exists today in Western countries?;
9;1;¿En qué casos te parece mejor hacer el amor a oscuras?;In which cases do you find it better to make love in the dark?;
10;1;¿Qué opinas de la legalización de la prostitución?;What do you think about the legalization of prostitution?;
11;1;Si tuvieses la oportunidad, ¿con qué famoso tendrías relaciones sexuales?;If you had the opportunity, which celebrity would you have sex with?;
12;1;¿Cuál es la forma más eficaz de ligar en una discoteca?;What is the most effective way to pick up at a nightclub?;
13;1;¿De qué personaje de ficción verías una peli porno?;What fictional character would you watch a porn movie about?;
14;1;¿En qué te fijas primero al mirar a una mujer?;What do you look at first when you look at a woman?;
15;1;¿En qué te fijas primero al mirar a un hombre?;What do you look at first when you look at a man?;
16;1;¿Qué necesitas para tener un orgasmo?;What do you need to have an orgasm?;
17;1;¿Qué podría hacer un desconocido/a para acostarse contigo?;What could a stranger do to get into bed with you?;
18;1;Idealmente, ¿cuál es la mejor actividad que hacer antes del sexo?;Ideally, what is the best activity to do before sex?;
19;1;¿Qué prefieres, culos o tetas?;What do you prefer, butts or boobs?;
20;1;¿Qué es lo primero que haces después de mantener relaciones sexuales?;What is the first thing you do after sex?;
21;1;¿Qué es lo más importante durante tu primera experiencia sexual?;¿Qué es lo más importante durante tu primera experiencia sexual?;
22;1;¿Cuál es el mejor momento del dia para hacer el amor?;What is the best time of the day to make love?;
23;1;¿Qué tarea doméstica equivale al tiempo que duras en la cama?;What household chore equals the time you last in bed?;
24;1;¿Qué motivos te tendrían que dar para que te acostases con tu expareja?;What reasons would they have to give you for you to sleep with your ex?;
25;1;¿Qué pasaría si no pudieras tener sexo durante un año entero?;What would happen if you couldn't have sex for a whole year?;
26;1;¿Cuál es la mejor carrera o profesión para pillar cacho?;What is the best career or profession to find a sexual partner?;
27;1;¿Cuál sería tu descripción si te hicieses Tinder?;What would your description be if you created a Tinder profile?;
28;1;¿Que opinas de la gente que usa Tinder?;What do you think about people who use Tinder?;
29;1;¿Qué posturas te dan más placer en la cama?;What positions give you the most pleasure in bed?;
30;1;¿Cómo de dispuesto estás a que te coman el culo?;How willing are you to have your ass eaten?;
31;2;En una relación sentimental, ¿qué defectos estás dispuesto a perdonar?;In a romantic relationship, what defects are you willing to forgive?;
32;2;¿Cuál sería la profesión ideal del amor de tu vida?;What would be the ideal profession of the love of your life?;
33;2;¿Cómo seducirías a alguien con una simple mirada?;How would you seduce someone with a simple look?;
34;2;De tener que prepararle una cena romántica a tu pareja, ¿qué platos le prepararías?;If you had to prepare a romantic dinner for your partner, what dishes would you prepare for him/her?;
35;2;¿Qué le dirías a tu pareja si, después de llevar un mes saliendo, aún no habéis mantenido relaciones sexuales?;What would you say to your partner if, after dating for a month, you still haven't had sex?;
36;2;¿Cuál es el peor momento para decir te quiero?;What is the worst time to say I love you?;
37;2;¿Qué buenos motivos crees que hay para que dos personas se divorcien?;What good reasons do you think there are for two people to divorce?;
38;2;¿Cómo llevas los celos?;How do you deal with jealousy?;
39;2;¿Crees que los celos son buenos o malos?;Do you think jealousy is good or bad?;
40;2;¿Qué significan para ti los celos?;What does jealousy mean to you?;
41;2;¿Cuál es el escenario ideal para hacer una petición de matrimonio?;What is the ideal scenario for a marriage proposal?;
42;2;¿Qué red flags no puedes tolerar en una relación de pareja?;What red flags can't you tolerate in a relationship?;
43;2;¿Qué estarías dispuesto a hacer con tal de no irde un fin de semana con tus suegros?;What would you be willing to do to avoid a weekend with your in-laws?;
44;2;¿Qué es lo menos sexy que te puede hacer tu pareja?;What is the least sexy thing your partner can do to you?;
45;2;¿Cuánto se parece tu pareja a la versión idealizada de pareja que tenías antes de conocerla?;How much is your partner like the idealized version of a partner you had before you met him or her?;
46;2;Dedícale una canción a alguien que te importe mucho.;Dedicate a song to someone you care a lot about.;
47;2;¿Qué no harías jamás aunque el amor de tu vida te lo pidiera?;What would you never do even if the love of your life asked you to?;
48;2;¿Estarías dispuesto a estar en una relación con una persona que no folla bien?;Would you be willing to be in a relationship with a person who doesn't fuck well?;
49;2;¿Cual crees que es la mejor forma de superar una ruptura amorosa?;What do you think is the best way to get over a breakup?;
50;2;¿Crees que se deberían perdonar los celos?;Do you think jealousy should be forgiven?;
51;3;¿Qué consejo le darías a un estudiante que no sabe qué hacer con su vida?;What advice would you give to a student who doesn't know what to do with his or her life?;
52;3;¿Cuál es la mejor carrera profesional que podría elegir una persona?;What is the best career path a person could choose?;
53;3;¿Cómo se puede reconocer a un capullo nada más verlo?;How can you recognize an asshole on sight?;
54;2;¿Qué cualidades buscas en una pareja romántica?;What qualities do you look for in a romantic partner?;
55;2;¿Qué es lo más importante que tiene que tener tu pareja para ser tu pareja?;What is the most important thing your partner must have to be your partner?;
56;3;¿Qué es mejor que el sexo?;What is better than sex?;
57;3;¿Qué es lo más irrespetuoso que puede hacerle un humano al medio ambiente?;What is the most disrespectful thing a human can do to the environment?;
58;3;¿Qué es lo mejor y lo peor que puede hacer un turista cuando se va de viaje?;What is the best and worst thing a tourist can do when going on a trip?;
59;3;Si tuvieras que elegir uno, ¿cuál sería el octavo pecado capital?;If you had to choose one, what would be the eighth cardinal sin?;
60;3;¿A qué proposición habría que decir siempre que si?;To which proposition should we always say yes?;
61;3;¿Cómo valorarías tu vida ahora mismo?;How would you value your life right now?;
62;3;¿Qué sentido crees que tiene casarse?;What do you think is the point of getting married?;
63;3;¿Qué harías si no pudieras salir de tu casa durante una semana?;What would you do if you couldn't leave your house for a week?;
64;3;¿Cuál es la forma más estúpida de morir?;What is the stupidest way to die?;
65;3;¿Qué harías si solo te quedasen 24 horas de vida?;What would you do if you only had 24 hours to live?;
66;3;¿Qué tipo de preguntas no deberías hacer nunca en el trabajo?;What kind of questions should you never ask at work?;
67;3;¿En qué situación merece la pena pegarse con alguien?;In what situation is it worth hitting someone?;
68;3;¿Qué era mejor en “los viejos tiempos”?;"What was better in ""the old days""?";
69;3;¿Dónde encerrarías a tu peor enemigo?;Where would you lock up your worst enemy?;
70;3;¿Qué es lo que más te inspira y motiva en tu vida?;What inspires and motivates you most in your life?;
71;3;¿Qué filosofía de vida te gusta más?;What philosophy of life do you like the most?;
72;3;¿Qué acción podrías tomar para mejorar tu vida ahora mismo?;What action could you take to improve your life right now?;
73;3;¿Qué acto es señal de una profunda amistad?;What act is a sign of deep friendship?;
74;3;¿Qué esperas conseguir de aquí a cinco años?;What do you hope to achieve five years from now?;
